DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
07/03/2014,29,Priorat,430496,Cornudella de Montsant,0.0,0.84,0.0,0.84,"Cornudella de Montsant, Priorat, Catalunya",41.2656573,0.9042039
08/03/2014,3,Alt Penedès,82227,Sant Llorenç d'Hortons,0.0,0.6,0.0,0.6,"Sant Llorenç d'Hortons, Alt Penedès, Catalunya",41.4679645,1.824028
08/03/2014,21,Maresme,80095,Argentona,0.01,0.0,0.0,0.01,"Argentona, Maresme, Catalunya",41.5554326,2.4002787
08/03/2014,7,Bages,81918,Sallent,0.0,0.2,0.0,0.2,"Sallent, Bages, Catalunya",41.8259065,1.8948758
08/03/2014,16,Conca de Barberà,430862,Montblanc,0.05,0.0,0.26,0.05,"Montblanc, Conca de Barberà, Catalunya",41.3762309,1.1605628
08/03/2014,16,Conca de Barberà,431476,Solivella,0.25,0.88,0.39,1.13,"Solivella, Conca de Barberà, Catalunya",41.4551755,1.1767773
09/03/2014,22,Montsià,431567,Ulldecona,0.0,0.27,0.0,0.27,"Ulldecona, Montsià, Catalunya",40.5967567,0.4460301
09/03/2014,11,Baix Llobregat,80018,Abrera,0.0,0.48,0.0,0.48,"Abrera, Baix Llobregat, Catalunya",41.5204464,1.9024126
09/03/2014,10,Baix Empordà,170681,Foixà,0.28,0.0,0.0,0.28,"Foixà, Baix Empordà, Catalunya",42.0388268,2.9973628
09/03/2014,14,Berguedà,80522,Castellar de n'Hug,0.0,0.15,0.0,0.15,"Castellar de n'Hug, Berguedà, Catalunya",42.2826009,2.0165927
09/03/2014,14,Berguedà,80522,Castellar de n'Hug,0.0,0.25,0.0,0.25,"Castellar de n'Hug, Berguedà, Catalunya",42.2826009,2.0165927
09/03/2014,2,Alt Empordà,170470,Castelló d'Empúries,0.04,0.0,0.0,0.04,"Castelló d'Empúries, Alt Empordà, Catalunya",42.2591074,3.0746425
09/03/2014,23,Noguera,250349,Artesa de Segre,1.24,0.0,0.0,1.24,"Artesa de Segre, Noguera, Catalunya",41.8962914,1.0471121
